Parameter,Parameter_Value,BF
theta2_deg,152.0,1.5958081464754683
theta2_deg,152.2,1.597257048679091
theta2_deg,152.4,1.5987058703429697
theta2_deg,152.6,1.6001545055183009
theta2_deg,152.8,1.6016028471923323
theta2_deg,153.0,1.6030507872846733
theta2_deg,153.2,1.604498216643773
theta2_deg,153.4,1.6059450250435685
theta2_deg,153.6,1.6073911011803048
theta2_deg,153.8,1.6088363326695343
theta2_deg,154.0,1.610280606043298
theta2_deg,154.2,1.611723806747499
theta2_deg,154.4,1.6131658191394662
theta2_deg,154.6,1.6146065264857141
theta2_deg,154.8,1.6160458109599094
theta2_deg,155.0,1.6174835536410455
